,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,team_name
839,Ramandeep Singh,2022-2022,5,4,2,45,14*,22.50,112.50,-,-,-, Mumbai Indians
840,N Rana,2016-2017,17,15,1,437,70,31.21,128.90,-,4,-, Mumbai Indians
841,Rasikh Salam,2019-2019,1,1,1,5,5*,0.00,125.00,-,-,-, Mumbai Indians
842,AT Rayudu,2010-2017,114,107,18,2416,81*,27.14,126.16,-,14,9, Mumbai Indians
843,L Ronchi,2008-2009,5,5,-,34,13,6.80,100.00,-,-,1, Mumbai Indians
844,AS Roy,2019-2019,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
845,DR Sams,2022-2022,11,10,3,38,15,5.42,105.55,-,-,2, Mumbai Indians
846,PJ Sangwan,2018-2018,1,1,-,-,-,0.00,0.00,-,-,1, Mumbai Indians
847,R Sanjay Yadav,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1, Mumbai Indians
848,K Santokie,2014-2014,2,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
849,R Sathish,2010-2011,21,14,5,137,24,15.22,105.38,-,-,1, Mumbai Indians
850,PR Shah,2008-2009,14,9,2,87,29,12.42,101.16,-,-,1, Mumbai Indians
851,RA Shaikh,2009-2009,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
852,KV Sharma,2017-2017,9,6,-,49,19,8.16,119.51,-,-,-, Mumbai Indians
853,RG Sharma,2011-2024,212,208,23,5458,109*,29.50,131.07,2,35,15, Mumbai Indians
854,R Shepherd,2024-2024,6,5,3,57,39*,28.50,271.42,-,-,-, Mumbai Indians
855,HR Shokeen,2022-2023,13,6,3,66,25,22.00,101.53,-,-,-, Mumbai Indians
856,R Shukla,2012-2012,1,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
857,LMP Simmons,2014-2017,29,29,2,1079,100*,39.96,126.64,1,11,2, Mumbai Indians
858,RP Singh,2012-2012,11,5,3,6,3,3.00,50.00,-,-,1, Mumbai Indians
859,DR Smith,2008-2013,24,22,2,620,87*,31.00,129.43,-,5,2, Mumbai Indians
860,TG Southee,2016-2017,14,5,1,37,25,9.25,168.18,-,-,-, Mumbai Indians
861,BB Sran,2019-2019,2,1,1,3,3*,0.00,100.00,-,-,-, Mumbai Indians
862,T Stubbs,2022-2023,4,4,-,27,20,6.75,77.14,-,-,1, Mumbai Indians
863,J Suchith,2015-2016,14,6,5,48,34*,48.00,150.00,-,-,-, Mumbai Indians
864,TL Suman,2011-2012,10,9,1,80,36,10.00,114.28,-,-,-, Mumbai Indians
865,P Suyal,2013-2015,5,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
866,A Symonds,2011-2011,11,9,5,135,44*,33.75,97.82,-,-,-, Mumbai Indians
867,YV Takawale,2008-2009,11,5,2,88,27,29.33,101.14,-,-,-, Mumbai Indians
868,AP Tare,2010-2015,29,23,4,313,59,16.47,133.19,-,1,2, Mumbai Indians
869,AS Tendulkar,2023-2024,5,1,-,13,13,13.00,144.44,-,-,-, Mumbai Indians
870,SR Tendulkar,2008-2013,78,78,11,2334,100*,34.83,119.81,1,13,4, Mumbai Indians
871,DJ Thornely,2008-2008,6,4,2,39,30,19.50,73.58,-,-,-, Mumbai Indians
872,N Thushara,2024-2024,7,-,-,-,-,0.00,0.00,-,-,-, Mumbai Indians
873,NT Tilak Varma,2022-2024,38,38,9,1156,84*,39.86,146.32,-,6,1, Mumbai Indians
874,SS Tiwary,2008-2021,36,30,5,728,61,29.12,129.76,-,5,1, Mumbai Indians
875,JD Unadkat,2022-2022,5,5,2,59,19*,19.66,159.45,-,-,-, Mumbai Indians
876,RV Uthappa,2008-2008,14,14,5,320,48,35.55,114.69,-,-,-, Mumbai Indians
877,R Vinay Kumar,2015-2017,17,5,3,13,12,6.50,92.85,-,-,1, Mumbai Indians
878,Vishnu Vinod,2023-2023,3,3,-,37,30,12.33,119.35,-,-,-, Mumbai Indians
879,N Wadhera,2023-2024,20,16,1,350,64,23.33,140.00,-,2,1, Mumbai Indians
880,L Wood,2024-2024,2,1,1,9,9*,0.00,300.00,-,-,-, Mumbai Indians
881,J Yadav,2019-2021,9,3,1,34,23,17.00,130.76,-,-,-, Mumbai Indians
882,SA Yadav,2012-2024,96,94,9,2986,103*,35.12,148.40,2,23,9, Mumbai Indians
883,VS Yeligati,2008-2008,2,1,-,2,2,2.00,100.00,-,-,-, Mumbai Indians
884,Yuvraj Singh,2019-2019,4,4,-,98,53,24.50,130.66,-,1,-, Mumbai Indians
885,UA Birla,2013-2013,2,1,-,7,7,7.00,50.00,-,-,-, Pune Warriors
886,MJ Clarke,2012-2012,6,6,-,98,41,16.33,104.25,-,-,-, Pune Warriors
887,AB Dinda,2012-2013,20,6,3,11,6*,3.66,68.75,-,-,2, Pune Warriors
888,JP Faulkner,2011-2011,1,-,-,-,-,0.00,0.00,-,-,-, Pune Warriors
889,CJ Ferguson,2011-2012,9,8,2,98,23,16.33,83.76,-,-,-, Pune Warriors
890,AJ Finch,2013-2013,14,14,-,456,67,32.57,135.71,-,4,1, Pune Warriors
891,SC Ganguly,2011-2012,19,18,1,318,45,18.70,96.36,-,-,1, Pune Warriors
892,RV Gomez,2013-2013,2,1,1,4,4*,0.00,400.00,-,-,-, Pune Warriors
893,Harpreet Singh,2011-2012,3,3,1,20,13,10.00,76.92,-,-,-, Pune Warriors
894,AA Jhunjhunwala,2011-2011,3,2,-,10,10,5.00,55.55,-,-,1, Pune Warriors
895,Kamran Khan,2011-2011,1,-,-,-,-,0.00,0.00,-,-,-, Pune Warriors
896,M Kartik,2011-2012,17,7,6,38,14*,38.00,105.55,-,-,-, Pune Warriors
897,B Kumar,2011-2013,31,19,9,93,24*,9.30,83.03,-,-,1, Pune Warriors
898,NL McCullum,2011-2011,2,2,1,26,15,26.00,118.18,-,-,-, Pune Warriors
899,AP Majumdar,2012-2012,4,4,-,87,31,21.75,114.47,-,-,-, Pune Warriors
900,M Manhas,2011-2013,23,19,5,247,42*,17.64,104.66,-,-,4, Pune Warriors
901,MR Marsh,2011-2013,14,11,2,190,38,21.11,122.58,-,-,-, Pune Warriors
902,AD Mathews,2012-2013,20,18,4,299,40,21.35,121.05,-,-,1, Pune Warriors
903,BAW Mendis,2013-2013,3,1,-,2,2,2.00,50.00,-,-,-, Pune Warriors
904,MD Mishra,2011-2012,7,6,1,71,37*,14.20,110.93,-,-,-, Pune Warriors
905,SS Mundhe,2011-2011,1,-,-,-,-,0.00,0.00,-,-,-, Pune Warriors
906,AG Murtaza,2012-2013,4,2,1,8,5,8.00,88.88,-,-,-, Pune Warriors
907,AM Nayar,2013-2013,11,9,3,66,25*,11.00,90.41,-,-,1, Pune Warriors
908,A Nehra,2012-2012,13,2,2,11,9*,0.00,91.66,-,-,-, Pune Warriors
909,TD Paine,2011-2011,2,2,-,10,8,5.00,38.46,-,-,-, Pune Warriors
910,IC Pandey,2013-2013,2,1,-,-,-,0.00,0.00,-,-,1, Pune Warriors
911,MK Pandey,2011-2013,27,25,3,525,80*,23.86,110.29,-,3,5, Pune Warriors
912,WD Parnell,2011-2013,18,11,3,61,16,7.62,83.56,-,-,-, Pune Warriors
913,Parvez Rasool,2013-2013,2,2,1,5,4*,5.00,55.55,-,-,-, Pune Warriors
914,S Rana,2011-2011,2,1,-,18,18,18.00,112.50,-,-,-, Pune Warriors
915,M Rawat,2013-2013,2,2,1,5,5,5.00,45.45,-,-,-, Pune Warriors
916,KW Richardson,2013-2013,3,2,-,34,26,17.00,94.44,-,-,-, Pune Warriors
917,JD Ryder,2011-2012,24,24,1,548,86,23.82,133.98,-,4,2, Pune Warriors
918,MN Samuels,2012-2013,10,10,1,132,46,14.66,93.61,-,-,-, Pune Warriors
919,R Sharma,2011-2013,36,16,5,37,13,3.36,75.51,-,-,7, Pune Warriors
920,GC Smith,2011-2011,4,4,-,42,24,10.50,82.35,-,-,1, Pune Warriors
921,SPD Smith,2012-2013,22,21,8,521,47*,40.07,130.57,-,-,-, Pune Warriors
922,TL Suman,2013-2013,7,5,-,52,23,10.40,89.65,-,-,1, Pune Warriors
923,JE Taylor,2011-2011,5,2,1,3,2,3.00,100.00,-,-,-, Pune Warriors
924,LRPL Taylor,2013-2013,5,5,-,63,19,12.60,82.89,-,-,-, Pune Warriors
925,AC Thomas,2011-2012,15,4,2,20,12,10.00,105.26,-,-,-, Pune Warriors
926,K Upadhyay,2012-2013,3,2,2,12,11*,0.00,133.33,-,-,-, Pune Warriors
927,RV Uthappa,2011-2013,46,45,4,1103,75,26.90,119.50,-,4,2, Pune Warriors
928,SB Wagh,2011-2011,7,2,-,2,2,1.00,66.66,-,-,1, Pune Warriors
929,LJ Wright,2012-2013,7,6,1,106,44,21.20,176.66,-,-,-, Pune Warriors
930,Yuvraj Singh,2011-2013,27,26,4,581,66*,26.40,128.82,-,2,1, Pune Warriors
931,VR Aaron,2019-2020,8,3,2,4,3*,4.00,23.52,-,-,-, Rajasthan Royals
932,Abdul Basith,2023-2023,1,1,1,1,1*,0.00,100.00,-,-,-, Rajasthan Royals
933,Akash Singh,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
934,Ankit Sharma,2014-2018,8,4,1,41,30,13.66,113.88,-,-,1, Rajasthan Royals
935,Anuj Rawat,2021-2021,2,1,-,-,-,0.00,0.00,-,-,1, Rajasthan Royals
936,Anureet Singh,2018-2018,3,1,1,3,3*,0.00,75.00,-,-,-, Rajasthan Royals
937,JC Archer,2018-2020,35,23,10,195,27*,15.00,157.25,-,-,3, Rajasthan Royals
938,M Ashwin,2023-2023,2,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
939,R Ashwin,2022-2024,45,31,12,344,50,18.10,132.30,-,1,3, Rajasthan Royals
940,KM Asif,2023-2023,4,1,-,-,-,0.00,0.00,-,-,1, Rajasthan Royals
941,SA Asnodkar,2008-2011,20,20,-,423,60,21.15,124.77,-,2,3, Rajasthan Royals
942,Avesh Khan,2024-2024,16,3,3,10,7*,0.00,200.00,-,-,-, Rajasthan Royals
943,S Badree,2013-2013,1,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
944,R Bhatia,2014-2015,14,8,2,67,23,11.16,124.07,-,-,1, Rajasthan Royals
945,STR Binny,2011-2019,72,54,18,731,48*,20.30,129.84,-,-,7, Rajasthan Royals
946,J Botha,2009-2012,24,19,8,335,67*,30.45,114.72,-,1,-, Rajasthan Royals
947,TA Boult,2022-2024,42,17,12,70,17*,14.00,118.64,-,-,1, Rajasthan Royals
948,N Burger,2024-2024,6,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
949,JC Buttler,2018-2024,83,82,9,3055,124,41.84,147.79,7,18,6, Rajasthan Royals
950,LA Carseldine,2009-2009,5,5,1,81,39,20.25,119.11,-,-,-, Rajasthan Royals
951,YS Chahal,2022-2024,46,2,1,5,5,5.00,62.50,-,-,-, Rajasthan Royals
952,UBT Chand,2014-2014,1,1,-,2,2,2.00,22.22,-,-,-, Rajasthan Royals
953,A Chandila,2012-2013,12,2,2,4,4*,0.00,57.14,-,-,-, Rajasthan Royals
954,AA Chavan,2011-2013,13,3,1,12,7*,6.00,109.09,-,-,-, Rajasthan Royals
955,SD Chitnis,2009-2009,1,1,-,6,6,6.00,75.00,-,-,-, Rajasthan Royals
956,P Chopra,2018-2019,2,1,-,8,8,8.00,133.33,-,-,-, Rajasthan Royals
957,KK Cooper,2012-2014,25,14,5,116,32,12.88,170.58,-,-,1, Rajasthan Royals
958,NM Coulter-Nile,2022-2022,1,1,1,1,1*,0.00,50.00,-,-,-, Rajasthan Royals
959,TK Curran,2020-2020,5,4,3,83,54*,83.00,133.87,-,1,-, Rajasthan Royals
960,BCJ Cutting,2014-2014,1,1,-,8,8,8.00,133.33,-,-,-, Rajasthan Royals
961,P Dogra,2010-2010,9,8,-,107,41,13.37,100.94,-,-,1, Rajasthan Royals
962,AP Dole,2010-2010,3,2,-,34,30,17.00,154.54,-,-,-, Rajasthan Royals
963,ND Doshi,2011-2011,3,1,-,-,-,0.00,0.00,-,-,1, Rajasthan Royals
964,R Dravid,2011-2013,46,45,2,1276,66,29.67,110.86,-,7,-, Rajasthan Royals
965,S Dube,2021-2021,9,9,1,230,64*,28.75,119.17,-,1,-, Rajasthan Royals
966,SB Dubey,2024-2024,4,3,1,33,25,16.50,173.68,-,-,1, Rajasthan Royals
967,JP Faulkner,2013-2015,42,32,15,382,46,22.47,146.92,-,-,-, Rajasthan Royals
968,FY Fazal,2010-2011,12,11,1,183,45,18.30,105.78,-,-,1, Rajasthan Royals
969,D Ferreira,2024-2024,2,2,-,8,7,4.00,72.72,-,-,-, Rajasthan Royals
970,AJ Finch,2010-2010,1,1,-,21,21,21.00,100.00,-,-,-, Rajasthan Royals
971,S Gopal,2018-2021,42,18,6,157,24,13.08,116.29,-,-,4, Rajasthan Royals
972,SP Goswami,2012-2012,11,6,1,69,24,13.80,102.98,-,-,1, Rajasthan Royals
973,K Gowtham,2018-2019,22,17,5,144,33*,12.00,173.49,-,-,1, Rajasthan Royals
974,Harmeet Singh,2013-2013,1,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
975,SM Harwood,2009-2009,3,2,2,9,6*,0.00,64.28,-,-,-, Rajasthan Royals
976,T Henderson,2009-2009,2,2,-,11,11,5.50,68.75,-,-,1, Rajasthan Royals
977,SO Hetmyer,2022-2024,41,37,17,726,59*,36.30,154.46,-,2,1, Rajasthan Royals
978,BJ Hodge,2012-2014,33,30,12,639,54*,35.50,137.41,-,1,-, Rajasthan Royals
979,GB Hogg,2012-2013,10,3,1,15,13,7.50,93.75,-,-,-, Rajasthan Royals
980,JO Holder,2023-2023,8,3,1,12,11,6.00,109.09,-,-,1, Rajasthan Royals
981,DJ Hooda,2015-2015,14,9,-,151,54,16.77,158.94,-,1,-, Rajasthan Royals
982,Iqbal Abdulla,2014-2014,1,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
983,RA Jadeja,2008-2009,27,22,4,430,42,23.88,116.53,-,-,2, Rajasthan Royals
984,YBK Jaiswal,2020-2024,53,52,2,1607,124,32.14,150.60,2,9,4, Rajasthan Royals
985,AA Jhunjhunwala,2010-2010,13,11,2,183,53*,20.33,110.24,-,1,-, Rajasthan Royals
986,DC Jurel,2023-2024,28,22,7,347,56*,23.13,151.52,-,2,2, Rajasthan Royals
987,M Kaif,2008-2008,16,14,3,176,34*,16.00,102.92,-,-,-, Rajasthan Royals
988,Kamran Akmal,2008-2008,6,6,1,128,53*,25.60,164.10,-,1,-, Rajasthan Royals
989,Kamran Khan,2009-2010,8,2,1,3,3,3.00,60.00,-,-,-, Rajasthan Royals
990,Kartik Tyagi,2020-2021,14,5,3,6,2*,3.00,60.00,-,-,-, Rajasthan Royals
991,H Klaasen,2018-2018,4,4,1,57,32,19.00,121.27,-,-,1, Rajasthan Royals
992,T Kohler-Cadmore,2024-2024,4,3,-,48,20,16.00,88.88,-,-,-, Rajasthan Royals
993,T Kohli,2008-2008,2,2,-,10,7,5.00,66.66,-,-,-, Rajasthan Royals
994,TK Kotian,2024-2024,1,1,-,24,24,24.00,77.41,-,-,-, Rajasthan Royals
995,DS Kulkarni,2014-2019,37,7,4,50,28*,16.66,108.69,-,-,-, Rajasthan Royals
996,B Laughlin,2018-2018,7,2,1,1,1*,1.00,25.00,-,-,1, Rajasthan Royals
997,DS Lehmann,2008-2008,2,2,-,18,17,9.00,100.00,-,-,-, Rajasthan Royals
998,E Lewis,2021-2021,5,5,-,151,58,30.20,162.36,-,1,-, Rajasthan Royals
999,LS Livingstone,2019-2021,9,9,1,112,44,14.00,125.84,-,-,-, Rajasthan Royals
1000,MK Lomror,2018-2021,11,10,2,181,47,22.62,119.86,-,-,-, Rajasthan Royals
1001,MJ Lumb,2010-2010,11,11,-,278,83,25.27,144.79,-,1,2, Rajasthan Royals
1002,OC McCoy,2022-2023,8,1,-,8,8,8.00,160.00,-,-,-, Rajasthan Royals
1003,KA Maharaj,2024-2024,2,1,-,1,1,1.00,50.00,-,-,-, Rajasthan Royals
1004,VS Malik,2013-2014,4,1,1,1,1*,0.00,50.00,-,-,-, Rajasthan Royals
1005,M Markande,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
1006,DR Martyn,2010-2010,1,1,-,19,19,19.00,79.16,-,-,-, Rajasthan Royals
1007,AD Mascarenhas,2008-2010,8,7,1,60,27,10.00,105.26,-,-,1, Rajasthan Royals
1008,AL Menaria,2011-2013,29,23,2,401,40,19.09,112.64,-,-,1, Rajasthan Royals
1009,S Midhun,2019-2019,1,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
1010,DA Miller,2020-2021,10,9,3,124,62,20.66,109.73,-,1,2, Rajasthan Royals
1011,DJ Mitchell,2022-2022,2,2,-,33,17,16.50,75.00,-,-,-, Rajasthan Royals
1012,M Morkel,2009-2010,4,3,1,17,8,8.50,70.83,-,-,-, Rajasthan Royals
1013,CH Morris,2015-2021,22,14,7,143,36*,20.42,150.52,-,-,3, Rajasthan Royals
1014,Mustafizur Rahman,2021-2021,14,5,5,8,8*,0.00,57.14,-,-,-, Rajasthan Royals
1015,KK Nair,2014-2022,28,25,2,527,73*,22.91,133.41,-,4,-, Rajasthan Royals
1016,S Narwal,2010-2010,5,3,1,14,12,7.00,116.66,-,-,1, Rajasthan Royals
1017,AM Nayar,2014-2014,5,4,1,43,23,14.33,91.48,-,-,-, Rajasthan Royals
1018,JDS Neesham,2022-2022,2,2,-,31,17,15.50,114.81,-,-,-, Rajasthan Royals
1019,NV Ojha,2009-2010,22,22,3,545,94*,28.68,127.03,-,4,3, Rajasthan Royals
1020,JDP Oram,2011-2011,2,1,-,-,-,0.00,0.00,-,-,1, Rajasthan Royals
1021,D Padikkal,2022-2023,28,28,1,637,54,23.59,125.88,-,3,1, Rajasthan Royals
1022,Pankaj Singh,2008-2012,12,2,2,5,4*,0.00,62.50,-,-,-, Rajasthan Royals
1023,R Parag,2019-2024,70,58,10,1173,84*,24.43,135.13,-,6,3, Rajasthan Royals
1024,MM Patel,2008-2010,30,9,5,37,23*,9.25,115.62,-,-,3, Rajasthan Royals
1025,NK Patel,2008-2009,9,6,2,121,57,30.25,101.68,-,1,-, Rajasthan Royals
1026,YK Pathan,2008-2010,43,42,4,1011,100,26.60,161.24,1,6,1, Rajasthan Royals
1027,AG Paunikar,2010-2011,5,5,-,49,20,9.80,84.48,-,-,1, Rajasthan Royals
1028,MDKJ Perera,2013-2013,2,2,-,14,14,7.00,107.69,-,-,1, Rajasthan Royals
1029,GD Phillips,2021-2021,3,3,1,26,14*,13.00,78.78,-,-,-, Rajasthan Royals
1030,R Powell,2024-2024,10,7,1,103,27,17.16,151.47,-,-,-, Rajasthan Royals
1031,M Prasidh Krishna,2022-2022,17,3,2,6,4*,6.00,50.00,-,-,-, Rajasthan Royals
1032,RJ Quiney,2009-2009,7,7,-,103,51,14.71,100.98,-,1,-, Rajasthan Royals
1033,AM Rahane,2011-2019,100,93,11,2810,105*,34.26,122.65,2,17,5, Rajasthan Royals
1034,AS Rajpoot,2020-2020,6,2,1,9,7*,9.00,90.00,-,-,-, Rajasthan Royals
1035,AS Raut,2009-2011,22,16,7,194,36*,21.55,116.16,-,-,1, Rajasthan Royals
1036,M Rawat,2008-2009,16,10,6,50,23*,12.50,86.20,-,-,1, Rajasthan Royals
1037,KW Richardson,2014-2014,7,1,-,1,1,1.00,50.00,-,-,-, Rajasthan Royals
1038,JE Root,2023-2023,3,1,-,10,10,10.00,66.66,-,-,-, Rajasthan Royals
1039,Sachin Baby,2013-2013,4,1,-,3,3,3.00,42.85,-,-,-, Rajasthan Royals
1040,NA Saini,2022-2023,4,1,-,2,2,2.00,100.00,-,-,-, Rajasthan Royals
1041,C Sakariya,2021-2021,14,6,1,16,7,3.20,64.00,-,-,1, Rajasthan Royals
1042,D Salunkhe,2008-2008,6,3,1,33,26*,16.50,137.50,-,-,-, Rajasthan Royals
1043,SV Samson,2013-2024,140,135,16,3742,119,31.44,141.31,2,22,9, Rajasthan Royals
1044,Sandeep Sharma,2023-2024,23,2,2,2,2*,0.00,33.33,-,-,-, Rajasthan Royals
1045,KR Sen,2022-2024,12,1,1,-,0*,0.00,0.00,-,-,-, Rajasthan Royals
1046,OA Shah,2012-2013,15,15,4,365,76,33.18,130.82,-,3,-, Rajasthan Royals
1047,PR Shah,2011-2011,2,1,-,5,5,5.00,100.00,-,-,-, Rajasthan Royals
1048,T Shamsi,2021-2021,1,1,1,2,2*,0.00,50.00,-,-,-, Rajasthan Royals
1049,DJM Short,2018-2018,7,7,-,115,44,16.42,116.16,-,-,-, Rajasthan Royals
1050,R Shukla,2013-2013,3,1,1,1,1*,0.00,50.00,-,-,-, Rajasthan Royals
1051,A Singh,2009-2012,23,5,1,2,1*,0.50,20.00,-,-,3, Rajasthan Royals
1052,GC Smith,2008-2010,25,25,3,697,91,31.68,112.96,-,4,2, Rajasthan Royals
1053,SPD Smith,2014-2020,50,43,8,1070,79*,30.57,126.92,-,8,1, Rajasthan Royals
1054,IS Sodhi,2018-2019,8,2,-,7,6,3.50,41.17,-,-,-, Rajasthan Royals
1055,Sohail Tanvir,2008-2008,11,5,2,36,13,12.00,124.13,-,-,-, Rajasthan Royals
1056,TG Southee,2014-2015,10,4,2,17,7*,8.50,130.76,-,-,-, Rajasthan Royals
1057,BB Sran,2015-2015,1,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
1058,S Sreesanth,2013-2013,7,3,2,1,1*,1.00,25.00,-,-,1, Rajasthan Royals
1059,BA Stokes,2018-2021,31,31,5,604,107*,23.23,130.45,1,1,3, Rajasthan Royals
1060,SW Tait,2010-2013,21,5,2,23,11,7.66,88.46,-,-,1, Rajasthan Royals
1061,PV Tambe,2013-2015,26,5,3,11,3*,5.50,55.00,-,-,-, Rajasthan Royals
1062,LRPL Taylor,2011-2011,12,11,6,181,47*,36.20,119.07,-,-,1, Rajasthan Royals
1063,R Tewatia,2014-2021,32,23,6,426,53,25.05,124.19,-,1,-, Rajasthan Royals
1064,J Theron,2015-2015,1,1,1,1,1*,0.00,100.00,-,-,-, Rajasthan Royals
1065,O Thomas,2019-2019,4,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
1066,RA Tripathi,2018-2019,20,19,4,367,80*,24.46,128.77,-,2,-, Rajasthan Royals
1067,SK Trivedi,2008-2013,76,15,8,42,9,6.00,71.18,-,-,1, Rajasthan Royals
1068,AJ Turner,2019-2019,4,4,1,3,3*,1.00,30.00,-,-,3, Rajasthan Royals
1069,AJ Tye,2020-2020,1,1,-,6,6,6.00,100.00,-,-,-, Rajasthan Royals
1070,JD Unadkat,2018-2021,39,15,7,100,26,12.50,120.48,-,-,1, Rajasthan Royals
1071,A Uniyal,2010-2010,2,2,1,4,4*,4.00,57.14,-,-,1, Rajasthan Royals
1072,RV Uthappa,2020-2020,12,12,-,196,41,16.33,119.51,-,-,-, Rajasthan Royals
1073,PC Valthaty,2009-2009,2,2,-,6,5,3.00,50.00,-,-,-, Rajasthan Royals
1074,HE van der Dussen,2022-2022,3,3,1,22,12*,11.00,91.66,-,-,-, Rajasthan Royals
1075,AC Voges,2010-2010,9,7,3,181,45*,45.25,126.57,-,-,-, Rajasthan Royals
1076,M Vohra,2021-2021,4,4,-,42,14,10.50,107.69,-,-,-, Rajasthan Royals
1077,SB Wagh,2010-2010,1,-,-,-,-,0.00,0.00,-,-,-, Rajasthan Royals
1078,SK Warne,2008-2011,55,29,9,198,34*,9.90,92.52,-,-,7, Rajasthan Royals
1079,SR Watson,2008-2015,78,76,11,2372,104*,36.49,141.27,2,14,2, Rajasthan Royals
1080,K Yadav,2021-2023,3,1,1,-,0*,0.00,0.00,-,-,-, Rajasthan Royals
1081,DH Yagnik,2011-2014,25,17,7,170,34,17.00,124.08,-,-,1, Rajasthan Royals
1082,Younis Khan,2008-2008,1,1,-,3,3,3.00,42.85,-,-,-, Rajasthan Royals
1083,A Zampa,2023-2023,6,3,-,10,7,3.33,62.50,-,-,-, Rajasthan Royals
1084,MA Agarwal,2017-2017,3,3,-,26,20,8.66,96.29,-,-,1, Rising Pune Supergiant
1085,Ankit Sharma,2016-2017,4,2,1,28,25,28.00,155.55,-,-,-, Rising Pune Supergiant
1086,M Ashwin,2016-2016,10,1,-,-,-,0.00,0.00,-,-,1, Rising Pune Supergiant
1087,R Ashwin,2016-2016,14,6,4,41,29,20.50,107.89,-,-,1, Rising Pune Supergiant
1088,GJ Bailey,2016-2016,6,5,1,84,34,21.00,85.71,-,-,1, Rising Pune Supergiant
1089,R Bhatia,2016-2017,13,8,6,50,21,25.00,135.13,-,-,-, Rising Pune Supergiant
1090,SM Boland,2016-2016,2,-,-,-,-,0.00,0.00,-,-,-, Rising Pune Supergiant
1091,DL Chahar,2016-2017,5,1,-,14,14,14.00,233.33,-,-,-, Rising Pune Supergiant
1092,RD Chahar,2017-2017,3,1,1,3,3*,0.00,150.00,-,-,-, Rising Pune Supergiant
1093,DT Christian,2017-2017,13,9,4,79,17*,15.80,161.22,-,-,-, Rising Pune Supergiant
1094,MS Dhoni,2016-2017,30,27,9,574,64*,31.88,124.78,-,2,-, Rising Pune Supergiant
1095,AB Dinda,2016-2017,12,1,-,7,7,7.00,100.00,-,-,-, Rising Pune Supergiant
1096,F du Plessis,2016-2017,8,7,-,214,69,30.57,126.62,-,2,-, Rising Pune Supergiant
1097,LH Ferguson,2017-2017,4,1,1,1,1*,0.00,100.00,-,-,-, Rising Pune Supergiant
1098,PSP Handscomb,2016-2016,2,1,-,6,6,6.00,50.00,-,-,-, Rising Pune Supergiant
1099,Imran Tahir,2017-2017,12,1,1,-,0*,0.00,0.00,-,-,-, Rising Pune Supergiant
1100,UT Khawaja,2016-2016,6,6,-,127,30,21.16,127.00,-,-,-, Rising Pune Supergiant
1101,MR Marsh,2016-2016,3,1,-,7,7,7.00,63.63,-,-,-, Rising Pune Supergiant
1102,JA Morkel,2016-2016,2,1,-,16,16,16.00,177.77,-,-,-, Rising Pune Supergiant
1103,IK Pathan,2016-2016,4,3,-,11,7,3.66,84.61,-,-,-, Rising Pune Supergiant
1104,NLTC Perera,2016-2016,12,10,3,150,34,21.42,161.29,-,-,-, Rising Pune Supergiant
1105,KP Pietersen,2016-2016,4,4,2,73,37,36.50,119.67,-,-,-, Rising Pune Supergiant
1106,AM Rahane,2016-2017,30,30,4,862,74,33.15,122.79,-,8,4, Rising Pune Supergiant
1107,I Sharma,2016-2016,4,1,1,-,0*,0.00,0.00,-,-,-, Rising Pune Supergiant
1108,RP Singh,2016-2016,4,-,-,-,-,0.00,0.00,-,-,-, Rising Pune Supergiant
1109,SPD Smith,2016-2017,23,22,4,742,101,41.22,131.79,1,3,-, Rising Pune Supergiant
1110,BA Stokes,2017-2017,12,11,1,316,103*,31.60,142.98,1,1,-, Rising Pune Supergiant
1111,SN Thakur,2017-2017,12,3,-,-,-,0.00,0.00,-,-,3, Rising Pune Supergiant
1112,MK Tiwary,2017-2017,15,13,3,324,60,32.40,137.28,-,2,1, Rising Pune Supergiant
1113,SS Tiwary,2016-2016,10,8,1,170,57,24.28,120.56,-,2,-, Rising Pune Supergiant
1114,RA Tripathi,2017-2017,14,14,-,391,93,27.92,146.44,-,2,1, Rising Pune Supergiant
1115,JD Unadkat,2017-2017,12,2,2,2,2*,0.00,40.00,-,-,-, Rising Pune Supergiant
1116,Washington Sundar,2017-2017,11,5,4,9,5*,9.00,75.00,-,-,1, Rising Pune Supergiant
1117,A Zampa,2016-2017,11,2,-,5,5,2.50,62.50,-,-,1, Rising Pune Supergiant
