,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,team_name
173,Aman Hakim Khan,2023-2023,11,9,1,110,51,13.75,108.91,-,1,1, Delhi Capitals
174,CJ Anderson,2017-2017,11,11,4,142,41*,20.28,115.44,-,-,1, Delhi Capitals
175,R Ashwin,2020-2021,28,11,5,81,20*,13.50,106.57,-,-,-, Delhi Capitals
176,Avesh Khan,2018-2021,24,2,1,9,5,9.00,150.00,-,-,-, Delhi Capitals
177,KS Bharat,2022-2022,2,2,-,8,8,4.00,114.28,-,-,1, Delhi Capitals
178,R Bhatia,2008-2010,22,11,1,66,21,6.60,104.76,-,-,2, Delhi Capitals
179,RK Bhui,2024-2024,2,2,-,3,3,1.50,33.33,-,-,1, Delhi Capitals
180,SW Billings,2016-2017,11,10,-,226,55,22.60,134.52,-,2,1, Delhi Capitals
181,TR Birt,2011-2011,5,5,-,75,27,15.00,129.31,-,-,-, Delhi Capitals
182,J Botha,2013-2013,6,6,-,43,23,7.16,82.69,-,-,-, Delhi Capitals
183,TA Boult,2018-2019,19,4,2,7,6,3.50,116.66,-,-,1, Delhi Capitals
184,DAJ Bracewell,2012-2012,1,1,1,12,12*,0.00,133.33,-,-,-, Delhi Capitals
185,CR Brathwaite,2016-2017,10,8,-,95,34,11.87,179.24,-,-,-, Delhi Capitals
186,AT Carey,2020-2020,3,3,1,32,14*,16.00,110.34,-,-,-, Delhi Capitals
187,UBT Chand,2011-2013,13,13,-,196,41,15.07,96.07,-,-,3, Delhi Capitals
188,B Chipli,2013-2013,1,1,-,16,16,16.00,88.88,-,-,-, Delhi Capitals
189,DT Christian,2018-2018,4,3,1,26,13,13.00,78.78,-,-,-, Delhi Capitals
190,PD Collingwood,2010-2010,8,7,2,203,75*,40.60,130.12,-,3,-, Delhi Capitals
191,NM Coulter-Nile,2014-2016,17,8,4,29,7*,7.25,90.62,-,-,-, Delhi Capitals
192,PJ Cummins,2017-2017,12,9,4,77,24,15.40,145.28,-,-,-, Delhi Capitals
193,TK Curran,2021-2021,3,2,1,21,21,21.00,123.52,-,-,-, Delhi Capitals
194,CJ Dala,2018-2018,1,-,-,-,-,0.00,0.00,-,-,-, Delhi Capitals
195,Q de Kock,2014-2016,23,23,1,720,108,32.72,134.83,1,5,-, Delhi Capitals
196,TU Deshpande,2020-2020,5,2,1,21,20*,21.00,175.00,-,-,-, Delhi Capitals
197,AB de Villiers,2008-2010,28,26,5,671,105*,31.95,117.30,1,3,2, Delhi Capitals
198,S Dhawan,2008-2021,63,63,10,2066,106*,38.98,131.00,2,16,6, Delhi Capitals
199,YV Dhull,2023-2023,4,3,-,16,13,5.33,69.56,-,-,-, Delhi Capitals
200,TM Dilshan,2008-2010,27,26,4,566,67*,25.72,119.66,-,4,3, Delhi Capitals
201,AB Dinda,2011-2011,6,1,-,-,-,0.00,0.00,-,-,1, Delhi Capitals
202,P Dubey,2020-2023,4,2,1,23,16,23.00,69.69,-,-,-, Delhi Capitals
203,JP Duminy,2014-2016,38,35,12,1015,78*,44.13,130.79,-,6,-, Delhi Capitals
204,AJ Finch,2011-2012,8,8,-,102,30,12.75,105.15,-,-,2, Delhi Capitals
205,J Fraser-McGurk,2024-2024,9,9,-,330,84,36.66,234.04,-,4,1, Delhi Capitals
206,G Gambhir,2008-2018,46,44,4,1182,86,29.55,122.86,-,9,2, Delhi Capitals
207,PK Garg,2023-2023,2,2,-,22,12,11.00,95.65,-,-,-, Delhi Capitals
208,CM Gautam,2013-2015,4,4,1,48,30,16.00,123.07,-,-,-, Delhi Capitals
209,B Geeves,2008-2008,2,-,-,-,-,0.00,0.00,-,-,-, Delhi Capitals
210,Gulbadin Naib,2024-2024,2,1,-,19,19,19.00,126.66,-,-,-, Delhi Capitals
211,Sunny Gupta,2012-2012,1,1,-,-,-,0.00,0.00,-,-,1, Delhi Capitals
212,MC Henriques,2010-2010,1,1,-,11,11,11.00,220.00,-,-,-, Delhi Capitals
213,SO Hetmyer,2020-2021,26,24,9,427,53*,28.46,158.73,-,1,-, Delhi Capitals
214,SD Hope,2024-2024,9,9,1,183,41,22.87,150.00,-,-,-, Delhi Capitals
215,JR Hopes,2011-2011,10,8,3,196,55,39.20,124.05,-,2,-, Delhi Capitals
216,Imran Tahir,2014-2016,20,5,1,18,5,4.50,78.26,-,-,-, Delhi Capitals
217,CA Ingram,2011-2019,15,15,3,205,47,17.08,113.88,-,-,-, Delhi Capitals
218,SS Iyer,2015-2021,87,87,12,2375,96,31.66,123.95,-,16,5, Delhi Capitals
219,KM Jadhav,2010-2015,41,37,14,566,63*,24.60,134.44,-,2,4, Delhi Capitals
220,DPMD Jayawardene,2012-2013,31,30,3,666,66,24.66,109.00,-,5,1, Delhi Capitals
221,MC Juneja,2013-2013,7,7,-,125,49,17.85,97.65,-,-,-, Delhi Capitals
222,KD Karthik,2008-2014,56,49,8,1036,69,25.26,126.49,-,6,2, Delhi Capitals
223,S Kaul,2013-2014,11,3,3,9,7*,0.00,81.81,-,-,-, Delhi Capitals
224,SN Khan,2022-2023,10,9,2,144,36*,20.57,111.62,-,-,-, Delhi Capitals
225,Z Khan,2015-2017,30,5,2,10,4,3.33,38.46,-,-,-, Delhi Capitals
226,Kuldeep Yadav,2022-2024,39,22,16,126,35*,21.00,89.36,-,-,3, Delhi Capitals
227,K Kushagra,2024-2024,4,3,-,3,2,1.00,42.85,-,-,1, Delhi Capitals
228,S Lamichhane,2018-2019,9,1,-,-,-,0.00,0.00,-,-,1, Delhi Capitals
229,AB McDonald,2009-2011,6,5,3,76,33*,38.00,120.63,-,-,-, Delhi Capitals
230,GD McGrath,2008-2008,14,3,2,4,4*,4.00,80.00,-,-,1, Delhi Capitals
231,MF Maharoof,2008-2010,20,14,4,177,39,17.70,143.90,-,-,2, Delhi Capitals
232,VY Mahesh,2008-2010,13,5,3,15,6*,7.50,55.55,-,-,-, Delhi Capitals
233,Mandeep Singh,2022-2022,3,3,-,18,18,6.00,78.26,-,-,2, Delhi Capitals
234,M Manhas,2008-2010,20,14,7,232,32*,33.14,109.95,-,-,2, Delhi Capitals
235,MR Marsh,2022-2024,21,21,-,440,89,20.95,135.80,-,3,4, Delhi Capitals
236,AD Mathews,2015-2017,14,12,3,176,31,19.55,134.35,-,-,1, Delhi Capitals
237,GJ Maxwell,2012-2018,14,14,1,175,47,13.46,133.58,-,-,-, Delhi Capitals
238,BMAJ Mendis,2013-2013,3,3,-,23,12,7.66,85.18,-,-,1, Delhi Capitals
239,LI Meriwala,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-, Delhi Capitals
