,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
938,M Ashwin,2023-2023,2,2,24,-,53,-,-,0.00,13.25,-,-,-,-,-, Rajasthan Royals
939,R Ashwin,2022-2024,45,44,1026,-,1338,35,3/17,38.22,7.82,29.3,-,-,11,-, Rajasthan Royals
940,KM Asif,2023-2023,4,4,84,-,138,3,2/42,46.00,9.85,28.0,-,-,1,-, Rajasthan Royals
941,SA Asnodkar,2008-2011,20,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Rajasthan Royals
942,Avesh Khan,2024-2024,16,15,329,-,526,19,3/27,27.68,9.59,17.3,-,-,2,-, Rajasthan Royals
943,S Badree,2013-2013,1,1,24,-,34,-,-,0.00,8.50,-,-,-,-,-, Rajasthan Royals
944,R Bhatia,2014-2015,14,14,258,-,329,12,3/23,27.41,7.65,21.5,-,-,5,-, Rajasthan Royals
945,STR Binny,2011-2019,72,47,450,-,565,17,2/14,33.23,7.53,26.4,-,-,15,-, Rajasthan Royals
946,J Botha,2009-2012,24,24,534,-,610,19,3/6,32.10,6.85,28.1,-,-,9,-, Rajasthan Royals
947,TA Boult,2022-2024,42,41,920,6,1247,45,3/22,27.71,8.13,20.4,-,-,11,-, Rajasthan Royals
948,N Burger,2024-2024,6,5,102,-,145,7,2/29,20.71,8.52,14.5,-,-,2,-, Rajasthan Royals
949,JC Buttler,2018-2024,83,-,0,-,-,-,-,0.00,-,-,-,-,47,1, Rajasthan Royals
950,LA Carseldine,2009-2009,5,1,6,-,6,1,1/6,6.00,6.00,6.0,-,-,4,-, Rajasthan Royals
951,YS Chahal,2022-2024,46,46,1073,-,1505,66,5/40,22.80,8.41,16.2,1,-,6,-, Rajasthan Royals
952,UBT Chand,2014-2014,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
953,A Chandila,2012-2013,12,12,234,-,242,11,4/13,22.00,6.20,21.2,-,-,7,-, Rajasthan Royals
954,AA Chavan,2011-2013,13,13,248,-,326,8,2/23,40.75,7.88,31.0,-,-,3,-, Rajasthan Royals
955,SD Chitnis,2009-2009,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
956,P Chopra,2018-2019,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
957,KK Cooper,2012-2014,25,25,576,1,757,33,4/26,22.93,7.88,17.4,-,-,12,-, Rajasthan Royals
958,NM Coulter-Nile,2022-2022,1,1,18,-,48,-,-,0.00,16.00,-,-,-,-,-, Rajasthan Royals
959,TK Curran,2020-2020,5,5,109,-,208,3,1/37,69.33,11.44,36.3,-,-,1,-, Rajasthan Royals
960,BCJ Cutting,2014-2014,1,1,24,-,31,1,1/31,31.00,7.75,24.0,-,-,1,-, Rajasthan Royals
961,P Dogra,2010-2010,9,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Rajasthan Royals
962,AP Dole,2010-2010,3,3,66,-,112,5,2/36,22.40,10.18,13.2,-,-,2,-, Rajasthan Royals
963,ND Doshi,2011-2011,3,3,32,-,62,1,1/15,62.00,11.62,32.0,-,-,-,-, Rajasthan Royals
964,R Dravid,2011-2013,46,-,0,-,-,-,-,0.00,-,-,-,-,10,-, Rajasthan Royals
965,S Dube,2021-2021,9,4,30,-,49,-,-,0.00,9.80,-,-,-,2,-, Rajasthan Royals
966,SB Dubey,2024-2024,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
967,JP Faulkner,2013-2015,42,42,907,3,1272,47,5/16,27.06,8.41,19.2,2,-,9,-, Rajasthan Royals
968,FY Fazal,2010-2011,12,2,12,-,20,-,-,0.00,10.00,-,-,-,6,-, Rajasthan Royals
969,D Ferreira,2024-2024,2,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rajasthan Royals
970,AJ Finch,2010-2010,1,1,7,-,5,-,-,0.00,4.28,-,-,-,-,-, Rajasthan Royals
971,S Gopal,2018-2021,42,41,816,1,1094,41,4/16,26.68,8.04,19.9,-,-,10,-, Rajasthan Royals
972,SP Goswami,2012-2012,11,-,0,-,-,-,-,0.00,-,-,-,-,4,4, Rajasthan Royals
973,K Gowtham,2018-2019,22,22,360,-,478,12,2/12,39.83,7.96,30.0,-,-,10,-, Rajasthan Royals
974,Harmeet Singh,2013-2013,1,1,24,-,34,1,1/34,34.00,8.50,24.0,-,-,-,-, Rajasthan Royals
975,SM Harwood,2009-2009,3,3,60,-,73,3,2/25,24.33,7.30,20.0,-,-,2,-, Rajasthan Royals
976,T Henderson,2009-2009,2,2,36,-,40,1,1/30,40.00,6.66,36.0,-,-,-,-, Rajasthan Royals
977,SO Hetmyer,2022-2024,41,-,0,-,-,-,-,0.00,-,-,-,-,18,-, Rajasthan Royals
978,BJ Hodge,2012-2014,33,3,18,-,24,1,1/13,24.00,8.00,18.0,-,-,15,-, Rajasthan Royals
979,GB Hogg,2012-2013,10,10,236,-,284,10,2/31,28.40,7.22,23.6,-,-,1,-, Rajasthan Royals
980,JO Holder,2023-2023,8,8,171,-,284,4,2/29,71.00,9.96,42.7,-,-,3,-, Rajasthan Royals
981,DJ Hooda,2015-2015,14,7,91,-,129,1,1/35,129.00,8.50,91.0,-,-,1,-, Rajasthan Royals
982,Iqbal Abdulla,2014-2014,1,1,12,-,17,-,-,0.00,8.50,-,-,-,1,-, Rajasthan Royals
983,RA Jadeja,2008-2009,27,12,153,-,172,6,3/15,28.66,6.74,25.5,-,-,11,-, Rajasthan Royals
984,YBK Jaiswal,2020-2024,53,1,1,-,6,-,-,0.00,36.00,-,-,-,18,-, Rajasthan Royals
985,AA Jhunjhunwala,2010-2010,13,5,37,-,69,-,-,0.00,11.18,-,-,-,4,-, Rajasthan Royals
986,DC Jurel,2023-2024,28,-,0,-,-,-,-,0.00,-,-,-,-,12,-, Rajasthan Royals
987,M Kaif,2008-2008,16,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Rajasthan Royals
988,Kamran Akmal,2008-2008,6,-,0,-,-,-,-,0.00,-,-,-,-,5,4, Rajasthan Royals
989,Kamran Khan,2009-2010,8,8,142,-,177,9,3/18,19.66,7.47,15.7,-,-,4,-, Rajasthan Royals
990,Kartik Tyagi,2020-2021,14,14,313,-,491,13,2/29,37.76,9.41,24.0,-,-,3,-, Rajasthan Royals
991,H Klaasen,2018-2018,4,-,0,-,-,-,-,0.00,-,-,-,-,3,4, Rajasthan Royals
992,T Kohler-Cadmore,2024-2024,4,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rajasthan Royals
993,T Kohli,2008-2008,2,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rajasthan Royals
994,TK Kotian,2024-2024,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
995,DS Kulkarni,2014-2019,37,37,701,3,1021,29,2/9,35.20,8.73,24.1,-,-,13,-, Rajasthan Royals
996,B Laughlin,2018-2018,7,7,125,-,211,9,2/15,23.44,10.12,13.8,-,-,1,-, Rajasthan Royals
997,DS Lehmann,2008-2008,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
998,E Lewis,2021-2021,5,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
999,LS Livingstone,2019-2021,9,1,6,-,13,-,-,0.00,13.00,-,-,-,7,-, Rajasthan Royals
1000,MK Lomror,2018-2021,11,6,60,-,74,1,1/22,74.00,7.40,60.0,-,-,1,-, Rajasthan Royals
1001,MJ Lumb,2010-2010,11,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Rajasthan Royals
1002,OC McCoy,2022-2023,8,8,161,-,250,11,3/23,22.72,9.31,14.6,-,-,1,-, Rajasthan Royals
1003,KA Maharaj,2024-2024,2,2,36,-,39,2,2/23,19.50,6.50,18.0,-,-,1,-, Rajasthan Royals
1004,VS Malik,2013-2014,4,4,78,-,88,3,2/14,29.33,6.76,26.0,-,-,1,-, Rajasthan Royals
1005,M Markande,2021-2021,1,1,18,-,26,-,-,0.00,8.66,-,-,-,-,-, Rajasthan Royals
1006,DR Martyn,2010-2010,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
1007,AD Mascarenhas,2008-2010,8,8,188,1,226,12,3/20,18.83,7.21,15.6,-,-,1,-, Rajasthan Royals
1008,AL Menaria,2011-2013,29,12,110,-,144,3,2/20,48.00,7.85,36.6,-,-,5,-, Rajasthan Royals
1009,S Midhun,2019-2019,1,1,12,-,27,-,-,0.00,13.50,-,-,-,1,-, Rajasthan Royals
1010,DA Miller,2020-2021,10,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Rajasthan Royals
1011,DJ Mitchell,2022-2022,2,2,12,-,27,-,-,0.00,13.50,-,-,-,2,-, Rajasthan Royals
1012,M Morkel,2009-2010,4,4,84,-,106,-,-,0.00,7.57,-,-,-,2,-, Rajasthan Royals
1013,CH Morris,2015-2021,22,22,498,-,687,28,4/23,24.53,8.27,17.7,-,-,7,-, Rajasthan Royals
1014,Mustafizur Rahman,2021-2021,14,14,311,-,436,14,3/20,31.14,8.41,22.2,-,-,1,-, Rajasthan Royals
1015,KK Nair,2014-2022,28,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Rajasthan Royals
1016,S Narwal,2010-2010,5,5,94,-,185,5,3/36,37.00,11.80,18.8,-,-,1,-, Rajasthan Royals
1017,AM Nayar,2014-2014,5,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rajasthan Royals
1018,JDS Neesham,2022-2022,2,1,18,-,29,-,-,0.00,9.66,-,-,-,1,-, Rajasthan Royals
1019,NV Ojha,2009-2010,22,-,0,-,-,-,-,0.00,-,-,-,-,6,6, Rajasthan Royals
1020,JDP Oram,2011-2011,2,2,24,-,45,1,1/32,45.00,11.25,24.0,-,-,-,-, Rajasthan Royals
1021,D Padikkal,2022-2023,28,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Rajasthan Royals
1022,Pankaj Singh,2008-2012,12,12,210,-,322,7,2/18,46.00,9.20,30.0,-,-,1,-, Rajasthan Royals
1023,R Parag,2019-2024,70,21,175,-,307,4,1/7,76.75,10.52,43.7,-,-,37,-, Rajasthan Royals
1024,MM Patel,2008-2010,30,30,617,2,779,33,3/17,23.60,7.57,18.6,-,-,7,-, Rajasthan Royals
1025,NK Patel,2008-2009,9,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Rajasthan Royals
1026,YK Pathan,2008-2010,43,35,583,-,719,20,3/22,35.95,7.39,29.1,-,-,14,-, Rajasthan Royals
1027,AG Paunikar,2010-2011,5,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rajasthan Royals
1028,MDKJ Perera,2013-2013,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
1029,GD Phillips,2021-2021,3,2,12,-,20,1,1/17,20.00,10.00,12.0,-,-,1,-, Rajasthan Royals
1030,R Powell,2024-2024,10,-,0,-,-,-,-,0.00,-,-,-,-,7,-, Rajasthan Royals
1031,M Prasidh Krishna,2022-2022,17,17,399,3,551,19,3/22,29.00,8.28,21.0,-,-,2,-, Rajasthan Royals
1032,RJ Quiney,2009-2009,7,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rajasthan Royals
1033,AM Rahane,2011-2019,100,-,0,-,-,-,-,0.00,-,-,-,-,40,-, Rajasthan Royals
1034,AS Rajpoot,2020-2020,6,6,102,-,199,2,1/39,99.50,11.70,51.0,-,-,-,-, Rajasthan Royals
1035,AS Raut,2009-2011,22,5,30,-,44,-,-,0.00,8.80,-,-,-,9,-, Rajasthan Royals
1036,M Rawat,2008-2009,16,-,0,-,-,-,-,0.00,-,-,-,-,15,1, Rajasthan Royals
1037,KW Richardson,2014-2014,7,7,162,-,206,9,2/18,22.88,7.62,18.0,-,-,3,-, Rajasthan Royals
1038,JE Root,2023-2023,3,1,12,-,14,-,-,0.00,7.00,-,-,-,2,-, Rajasthan Royals
1039,Sachin Baby,2013-2013,4,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Rajasthan Royals
1040,NA Saini,2022-2023,4,4,72,-,146,6,3/40,24.33,12.16,12.0,-,-,2,-, Rajasthan Royals
1041,C Sakariya,2021-2021,14,14,312,1,426,14,3/31,30.42,8.19,22.2,-,-,4,-, Rajasthan Royals
1042,D Salunkhe,2008-2008,6,5,48,-,78,1,1/21,78.00,9.75,48.0,-,-,2,-, Rajasthan Royals
1043,SV Samson,2013-2024,140,-,0,-,-,-,-,0.00,-,-,-,-,75,15, Rajasthan Royals
1044,Sandeep Sharma,2023-2024,23,22,504,-,707,23,5/18,30.73,8.41,21.9,1,-,7,-, Rajasthan Royals
1045,KR Sen,2022-2024,12,12,241,-,387,14,4/20,27.64,9.63,17.2,-,-,4,-, Rajasthan Royals
1046,OA Shah,2012-2013,15,-,0,-,-,-,-,0.00,-,-,-,-,5,-, Rajasthan Royals
1047,PR Shah,2011-2011,2,-,0,-,-,-,-,0.00,-,-,-,-,-,1, Rajasthan Royals
1048,T Shamsi,2021-2021,1,1,24,-,34,-,-,0.00,8.50,-,-,-,-,-, Rajasthan Royals
1049,DJM Short,2018-2018,7,2,18,-,19,1,1/10,19.00,6.33,18.0,-,-,2,-, Rajasthan Royals
1050,R Shukla,2013-2013,3,3,48,-,79,3,2/28,26.33,9.87,16.0,-,-,2,-, Rajasthan Royals
1051,A Singh,2009-2012,23,23,473,1,620,28,4/19,22.14,7.86,16.8,-,-,1,-, Rajasthan Royals
1052,GC Smith,2008-2010,25,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Rajasthan Royals
1053,SPD Smith,2014-2020,50,-,0,-,-,-,-,0.00,-,-,-,-,21,-, Rajasthan Royals
1054,IS Sodhi,2018-2019,8,8,181,1,202,9,3/26,22.44,6.69,20.1,-,-,-,-, Rajasthan Royals
1055,Sohail Tanvir,2008-2008,11,11,247,-,266,22,6/14,12.09,6.46,11.2,1,-,4,-, Rajasthan Royals
1056,TG Southee,2014-2015,10,10,228,1,323,6,2/32,53.83,8.50,38.0,-,-,6,-, Rajasthan Royals
1057,BB Sran,2015-2015,1,1,18,-,35,-,-,0.00,11.66,-,-,-,-,-, Rajasthan Royals
1058,S Sreesanth,2013-2013,7,7,130,2,163,5,2/20,32.60,7.52,26.0,-,-,-,-, Rajasthan Royals
1059,BA Stokes,2018-2021,31,25,419,1,658,16,3/15,41.12,9.42,26.1,-,-,16,-, Rajasthan Royals
1060,SW Tait,2010-2013,21,21,473,1,635,23,3/13,27.60,8.05,20.5,-,-,6,-, Rajasthan Royals
1061,PV Tambe,2013-2015,26,26,564,-,710,23,4/20,30.86,7.55,24.5,-,-,3,-, Rajasthan Royals
1062,LRPL Taylor,2011-2011,12,1,6,-,11,-,-,0.00,11.00,-,-,-,4,-, Rajasthan Royals
1063,R Tewatia,2014-2021,32,31,570,-,756,21,3/25,36.00,7.95,27.1,-,-,11,-, Rajasthan Royals
1064,J Theron,2015-2015,1,1,24,-,40,1,1/40,40.00,10.00,24.0,-,-,-,-, Rajasthan Royals
1065,O Thomas,2019-2019,4,4,60,-,79,5,2/6,15.80,7.90,12.0,-,-,1,-, Rajasthan Royals
1066,RA Tripathi,2018-2019,20,-,0,-,-,-,-,0.00,-,-,-,-,7,-, Rajasthan Royals
1067,SK Trivedi,2008-2013,76,75,1506,2,1904,65,4/25,29.29,7.58,23.1,-,-,14,-, Rajasthan Royals
1068,AJ Turner,2019-2019,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
1069,AJ Tye,2020-2020,1,1,24,-,50,1,1/50,50.00,12.50,24.0,-,-,-,-, Rajasthan Royals
1070,JD Unadkat,2018-2021,39,39,796,-,1280,29,3/15,44.13,9.64,27.4,-,-,11,-, Rajasthan Royals
1071,A Uniyal,2010-2010,2,2,36,-,66,2,2/41,33.00,11.00,18.0,-,-,-,-, Rajasthan Royals
1072,RV Uthappa,2020-2020,12,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Rajasthan Royals
1073,PC Valthaty,2009-2009,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
1074,HE van der Dussen,2022-2022,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
1075,AC Voges,2010-2010,9,7,54,-,76,-,-,0.00,8.44,-,-,-,1,-, Rajasthan Royals
1076,M Vohra,2021-2021,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rajasthan Royals
1077,SB Wagh,2010-2010,1,1,6,-,16,1,1/16,16.00,16.00,6.0,-,-,-,-, Rajasthan Royals
1078,SK Warne,2008-2011,55,54,1194,1,1447,57,4/21,25.38,7.27,20.9,-,-,16,-, Rajasthan Royals
1079,SR Watson,2008-2015,78,70,1361,3,1701,61,3/10,27.88,7.49,22.3,-,-,21,-, Rajasthan Royals
1080,K Yadav,2021-2023,3,3,54,-,84,2,1/18,42.00,9.33,27.0,-,-,-,-, Rajasthan Royals
1081,DH Yagnik,2011-2014,25,-,0,-,-,-,-,0.00,-,-,-,-,12,5, Rajasthan Royals
1082,Younis Khan,2008-2008,1,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rajasthan Royals
1083,A Zampa,2023-2023,6,6,132,-,188,8,3/22,23.50,8.54,16.5,-,-,-,-, Rajasthan Royals
1084,MA Agarwal,2017-2017,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rising Pune Supergiant
1085,Ankit Sharma,2016-2017,4,4,72,-,100,1,1/27,100.00,8.33,72.0,-,-,1,-, Rising Pune Supergiant
1086,M Ashwin,2016-2016,10,10,171,-,241,7,3/36,34.42,8.45,24.4,-,-,-,-, Rising Pune Supergiant
1087,R Ashwin,2016-2016,14,14,264,-,319,10,4/34,31.90,7.25,26.4,-,-,3,-, Rising Pune Supergiant
1088,GJ Bailey,2016-2016,6,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Rising Pune Supergiant
1089,R Bhatia,2016-2017,13,13,246,1,299,8,2/14,37.37,7.29,30.7,-,-,4,-, Rising Pune Supergiant
1090,SM Boland,2016-2016,2,2,42,-,54,2,2/31,27.00,7.71,21.0,-,-,-,-, Rising Pune Supergiant
1091,DL Chahar,2016-2017,5,5,72,-,115,1,1/35,115.00,9.58,72.0,-,-,1,-, Rising Pune Supergiant
1092,RD Chahar,2017-2017,3,2,42,-,58,2,1/26,29.00,8.28,21.0,-,-,1,-, Rising Pune Supergiant
1093,DT Christian,2017-2017,13,13,240,-,298,11,2/10,27.09,7.45,21.8,-,-,6,-, Rising Pune Supergiant
1094,MS Dhoni,2016-2017,30,-,0,-,-,-,-,0.00,-,-,-,-,18,7, Rising Pune Supergiant
1095,AB Dinda,2016-2017,12,12,243,2,350,12,3/20,29.16,8.64,20.2,-,-,-,-, Rising Pune Supergiant
1096,F du Plessis,2016-2017,8,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Rising Pune Supergiant
1097,LH Ferguson,2017-2017,4,4,78,1,93,3,2/7,31.00,7.15,26.0,-,-,-,-, Rising Pune Supergiant
1098,PSP Handscomb,2016-2016,2,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Rising Pune Supergiant
1099,Imran Tahir,2017-2017,12,12,282,-,369,18,3/18,20.50,7.85,15.6,-,-,2,-, Rising Pune Supergiant
1100,UT Khawaja,2016-2016,6,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rising Pune Supergiant
1101,MR Marsh,2016-2016,3,3,54,-,45,4,2/14,11.25,5.00,13.5,-,-,-,-, Rising Pune Supergiant
1102,JA Morkel,2016-2016,2,2,30,-,66,2,2/36,33.00,13.20,15.0,-,-,1,-, Rising Pune Supergiant
1103,IK Pathan,2016-2016,4,3,48,-,61,-,-,0.00,7.62,-,-,-,1,-, Rising Pune Supergiant
1104,NLTC Perera,2016-2016,12,11,199,-,326,9,3/34,36.22,9.82,22.1,-,-,5,-, Rising Pune Supergiant
1105,KP Pietersen,2016-2016,4,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Rising Pune Supergiant
1106,AM Rahane,2016-2017,30,-,0,-,-,-,-,0.00,-,-,-,-,13,-, Rising Pune Supergiant
1107,I Sharma,2016-2016,4,4,90,-,148,3,2/36,49.33,9.86,30.0,-,-,2,-, Rising Pune Supergiant
1108,RP Singh,2016-2016,4,4,72,-,111,3,1/23,37.00,9.25,24.0,-,-,-,-, Rising Pune Supergiant
1109,SPD Smith,2016-2017,23,-,0,-,-,-,-,0.00,-,-,-,-,9,-, Rising Pune Supergiant
1110,BA Stokes,2017-2017,12,12,264,1,316,12,3/18,26.33,7.18,22.0,-,-,5,-, Rising Pune Supergiant
1111,SN Thakur,2017-2017,12,12,229,-,315,11,3/19,28.63,8.25,20.8,-,-,4,-, Rising Pune Supergiant
1112,MK Tiwary,2017-2017,15,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Rising Pune Supergiant
1113,SS Tiwary,2016-2016,10,-,0,-,-,-,-,0.00,-,-,-,-,4,-, Rising Pune Supergiant
1114,RA Tripathi,2017-2017,14,1,6,-,12,-,-,0.00,12.00,-,-,-,5,-, Rising Pune Supergiant
1115,JD Unadkat,2017-2017,12,12,275,3,322,24,5/30,13.41,7.02,11.4,1,-,9,-, Rising Pune Supergiant
1116,Washington Sundar,2017-2017,11,10,180,-,185,8,3/16,23.12,6.16,22.5,-,-,5,-, Rising Pune Supergiant
1117,A Zampa,2016-2017,11,11,221,-,278,19,6/19,14.63,7.54,11.6,1,-,-,-, Rising Pune Supergiant
1118,VR Aaron,2014-2016,24,23,466,1,703,21,3/16,33.47,9.05,22.1,-,-,1,-, Royal Challengers Bengaluru
1119,SA Abbott,2015-2015,2,2,30,-,57,-,-,0.00,11.40,-,-,-,-,-, Royal Challengers Bengaluru
1120,Abdur Razzak,2008-2008,1,1,12,-,29,-,-,0.00,14.50,-,-,-,-,-, Royal Challengers Bengaluru
1121,AD Nath,2019-2019,8,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Royal Challengers Bengaluru
1122,MA Agarwal,2011-2013,29,-,0,-,-,-,-,0.00,-,-,-,-,15,-, Royal Challengers Bengaluru
1123,AN Ahmed,2014-2015,7,7,158,-,241,4,1/18,60.25,9.15,39.5,-,-,-,-, Royal Challengers Bengaluru
1124,Akash Deep,2022-2024,8,8,164,1,319,7,3/45,45.57,11.67,23.4,-,-,3,-, Royal Challengers Bengaluru
1125,B Akhil,2008-2010,14,12,176,-,220,6,2/17,36.66,7.50,29.3,-,-,3,-, Royal Challengers Bengaluru
1126,MM Ali,2018-2020,19,17,259,-,308,10,2/18,30.80,7.13,25.9,-,-,4,-, Royal Challengers Bengaluru
1127,CJ Anderson,2018-2018,3,3,52,-,115,3,2/47,38.33,13.26,17.3,-,-,-,-, Royal Challengers Bengaluru
1128,Anuj Rawat,2022-2024,22,-,0,-,-,-,-,0.00,-,-,-,-,13,-, Royal Challengers Bengaluru
1129,KP Appanna,2009-2012,14,13,216,-,286,9,4/19,31.77,7.94,24.0,-,-,1,-, Royal Challengers Bengaluru
1130,S Aravind,2011-2017,38,38,760,-,1039,45,4/14,23.08,8.20,16.8,-,-,8,-, Royal Challengers Bengaluru
1131,KB Arun Karthik,2011-2013,16,-,0,-,-,-,-,0.00,-,-,-,-,11,2, Royal Challengers Bengaluru
1132,J Arunkumar,2008-2008,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1133,M Ashwin,2018-2018,2,2,42,-,53,3,2/36,17.66,7.57,14.0,-,-,-,-, Royal Challengers Bengaluru
1134,Avesh Khan,2017-2017,1,1,24,-,23,1,1/23,23.00,5.75,24.0,-,-,-,-, Royal Challengers Bengaluru
1135,S Badree,2017-2017,7,7,150,1,188,9,4/9,20.88,7.52,16.6,-,-,2,-, Royal Challengers Bengaluru
1136,KS Bharat,2021-2021,8,-,0,-,-,-,-,0.00,-,-,-,-,4,1, Royal Challengers Bengaluru
1137,RR Bhatkal,2012-2012,1,1,12,-,35,-,-,0.00,17.50,-,-,-,1,-, Royal Challengers Bengaluru
1138,STR Binny,2016-2017,22,15,138,-,184,5,1/9,36.80,8.00,27.6,-,-,4,-, Royal Challengers Bengaluru
1139,R Bishnoi,2009-2009,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Royal Challengers Bengaluru
1140,MS Bisla,2015-2015,2,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Royal Challengers Bengaluru
1141,MV Boucher,2008-2010,27,-,0,-,-,-,-,0.00,-,-,-,-,13,3, Royal Challengers Bengaluru
1142,MG Bracewell,2023-2023,5,5,66,-,95,6,2/13,15.83,8.63,11.0,-,-,1,-, Royal Challengers Bengaluru
1143,YS Chahal,2014-2021,113,112,2424,4,3063,139,4/25,22.03,7.58,17.4,-,-,24,-, Royal Challengers Bengaluru
1144,S Chanderpaul,2008-2008,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1145,SD Chauhan,2024-2024,3,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1146,B Chipli,2008-2008,3,-,0,-,-,-,-,0.00,-,-,-,-,1,-, Royal Challengers Bengaluru
1147,A Choudhary,2017-2017,5,5,101,2,144,5,2/17,28.80,8.55,20.2,-,-,-,-, Royal Challengers Bengaluru
1148,DT Christian,2013-2021,11,11,136,-,210,4,2/14,52.50,9.26,34.0,-,-,9,-, Royal Challengers Bengaluru
1149,MJ Dagar,2024-2024,5,5,71,-,120,1,1/23,120.00,10.14,71.0,-,-,3,-, Royal Challengers Bengaluru
1150,TH David,2021-2021,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Royal Challengers Bengaluru
1151,C de Grandhomme,2018-2019,13,10,120,-,184,2,1/8,92.00,9.20,60.0,-,-,4,-, Royal Challengers Bengaluru
1152,Q de Kock,2018-2018,8,-,0,-,-,-,-,0.00,-,-,-,-,7,3, Royal Challengers Bengaluru
1153,PW Hasaranga,2021-2023,26,26,552,1,748,35,5/18,21.37,8.13,15.7,1,-,3,-, Royal Challengers Bengaluru
1154,AB de Villiers,2011-2021,156,-,0,-,-,-,-,0.00,-,-,-,-,96,8, Royal Challengers Bengaluru
1155,TM Dilshan,2011-2013,25,12,120,-,195,1,1/30,195.00,9.75,120.0,-,-,7,-, Royal Challengers Bengaluru
1156,AB Dinda,2014-2015,11,11,216,-,332,5,1/14,66.40,9.22,43.2,-,-,1,-, Royal Challengers Bengaluru
1157,ND Doshi,2010-2010,1,1,24,-,17,1,1/17,17.00,4.25,24.0,-,-,-,-, Royal Challengers Bengaluru
1158,R Dravid,2008-2010,43,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Royal Challengers Bengaluru
1159,S Dube,2019-2020,15,7,64,-,81,4,2/15,20.25,7.59,16.0,-,-,3,-, Royal Challengers Bengaluru
1160,F du Plessis,2022-2024,45,-,0,-,-,-,-,0.00,-,-,-,-,15,-, Royal Challengers Bengaluru
1161,D du Preez,2009-2009,2,2,42,1,56,4,3/32,14.00,8.00,10.5,-,-,-,-, Royal Challengers Bengaluru
1162,LH Ferguson,2024-2024,7,7,144,-,255,9,2/23,28.33,10.62,16.0,-,-,4,-, Royal Challengers Bengaluru
1163,AJ Finch,2020-2020,12,-,0,-,-,-,-,0.00,-,-,-,-,3,-, Royal Challengers Bengaluru
1164,GHS Garton,2021-2021,5,5,90,-,135,3,1/27,45.00,9.00,30.0,-,-,1,-, Royal Challengers Bengaluru
1165,CH Gayle,2011-2017,85,24,340,-,428,13,3/21,32.92,7.55,26.1,-,-,16,-, Royal Challengers Bengaluru
1166,SP Goswami,2008-2010,7,-,0,-,-,-,-,0.00,-,-,-,-,3,2, Royal Challengers Bengaluru
